dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,cross_street,lat,lon,weapon_used_cd,weapon_desc,crm_cd_2,crm_cd_3,index_right,geoid,distance_meters,year
191719118,2019-12-04T00:00:00.000,2019-12-04,0425,17,Devonshire,1788,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,68,M,W,101,STREET,IC,Invest Cont,745,8700    OAK PARK                     AV,,34.2285,-118.5059,,,,,1506,06037115401,791.5419878350647,2019
151006110,2015-02-23T00:00:00.000,2015-02-21,1900,10,West Valley,1047,1,330,BURGLARY FROM VEHICLE,1606 0344,29,M,H,108,PARKING LOT,IC,Invest Cont,330,17200    BURBANK                      BL,,34.1723,-118.5076,,,,,1726,06037139001,434.160497666886,2015
170908580,2017-04-01T00:00:00.000,2017-03-31,1445,09,Van Nuys,0952,2,763,STALKING,0347,21,M,W,108,PARKING LOT,AO,Adult Other,763,BURBANK                      BL,COLDWATER CA                 AV,34.1684,-118.4586,,,,,1648,06037128802,265.5285768722651,2017
131113894,2013-07-08T00:00:00.000,2013-07-07,2200,11,Northeast,1148,1,330,BURGLARY FROM VEHICLE,0344 1307,42,M,A,101,STREET,IC,Invest Cont,330,4300    MARMION                      WY,,34.1059,-118.2034,,,,,1795,06037185101,454.50559030863474,2013
160511182,2016-06-03T00:00:00.000,2016-06-03,2050,05,Harbor,0541,1,330,BURGLARY FROM VEHICLE,0344 0358 1607 1300,33,F,W,108,PARKING LOT,IC,Invest Cont,330,1000 N  WESTERN                      AV,,33.7537,-118.309,,,,,2464,06037296300,603.1313470583491,2016
131719161,2013-11-23T00:00:00.000,2013-11-22,2230,17,Devonshire,1737,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,33,M,H,101,STREET,IC,Invest Cont,331,10900    HAYVENHURST                  AV,,34.2684,-118.4935,,,,,1464,06037111100,148.9513134768597,2013
190708215,2019-03-26T00:00:00.000,2019-03-25,0815,07,Wilshire,0765,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,M,O,726,POLICE FACILITY,AA,Adult Arrest,845,4800    VENICE                       BL,,34.0496,-118.3425,,,,,2098,06037217200,62.02527691154517,2019
171407762,2017-03-08T00:00:00.000,2017-02-15,1840,14,Pacific,1463,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,0,X,X,203,OTHER BUSINESS,IC,Invest Cont,440,12900 W  JEFFERSON                    BL,,33.9782,-118.422,,,,,2411,06037275605,195.3204889686769,2017
140707806,2014-04-13T00:00:00.000,2014-04-12,1530,07,Wilshire,0759,2,624,BATTERY - SIMPLE ASSAULT,1414 0401,32,F,O,501,SINGLE FAMILY DWELLING,AO,Adult Other,624,1200    4TH                          AV,,34.0492,-118.3204,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2060,06037212900,178.3434088743765,2014
170118344,2017-06-28T00:00:00.000,2017-06-28,0920,01,Central,0146,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,IC,Invest Cont,420,200 E  5TH                          ST,,34.0461,-118.2461,,,,,1979,06037207306,253.74149037588606,2017
150415554,2015-10-10T00:00:00.000,2015-10-10,2100,04,Hollenbeck,0499,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 1310,23,F,H,101,STREET,IC,Invest Cont,230,OLYMPIC                      BL,ESPERANZA,34.0188,-118.201,,,,,1958,06037204920,337.7794684064226,2015
180512749,2018-07-01T00:00:00.000,2018-07-01,1000,05,Harbor,0566,1,220,ATTEMPTED ROBBERY,1202 0337 0913,61,M,W,102,SIDEWALK,IC,Invest Cont,220,700 S  PACIFIC                      AV,,33.7379,-118.2879,302,BLUNT INSTRUMENT,,,2468,06037296600,468.0820982221075,2018
190915773,2019-08-25T00:00:00.000,2019-08-23,1630,09,Van Nuys,0985,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,61,F,W,123,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,420,13900    MOORPARK                     ST,,34.1513,-118.4451,,,,,1747,06037141202,404.4918342449672,2019
150416985,2015-11-14T00:00:00.000,2015-11-13,2200,04,Hollenbeck,0468,1,330,BURGLARY FROM VEHICLE,0344 1302 0352,39,F,H,104,DRIVEWAY,IC,Invest Cont,330,100 S  DACOTAH                      ST,,34.0395,-118.2003,,,,,1947,06037204110,267.85698248798496,2015
170307284,2017-02-19T00:00:00.000,2017-02-19,0001,03,Southwest,0326,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,20,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,440,2600    BRIGHTON                     AV,,34.0327,-118.3015,,,,,2140,06037222200,189.1068104304277,2017
162012054,2016-06-13T00:00:00.000,2016-06-13,1045,20,Olympic,2056,1,480,BIKE - STOLEN,2004 0344 0345,17,M,H,108,PARKING LOT,IC,Invest Cont,480,900 S  VERMONT                      AV,,34.0509,-118.2937,,,,,2065,06037213320,56.943174702653515,2016
150210786,2015-05-05T00:00:00.000,2015-05-03,1730,02,Rampart,0217,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,43,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,745,1800    BELLEVUE                     AV,,34.0714,-118.2631,,,,,1898,06037195720,332.79600385842997,2015
132014427,2013-08-08T00:00:00.000,2013-08-07,1800,20,Olympic,2071,1,310,BURGLARY,1605 0344 0329 0321 0352 1221,39,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,310,1300 S  WILTON                       PL,,34.0472,-118.3145,,,,,2127,06037221304,226.1037652211862,2013
141413467,2014-05-09T00:00:00.000,2014-05-09,1715,14,Pacific,1456,1,310,BURGLARY,0314,31,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,4400    LINDBLADE                    DR,,33.9952,-118.4209,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2403,06037275200,108.02949944163122,2014
180410569,2018-06-02T00:00:00.000,2018-05-30,1200,04,Hollenbeck,0466,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,28,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,740,200 N  FICKETT                      ST,,34.0434,-118.2068,,,,,1949,06037204200,143.78387726933119,2018
171216376,2017-06-19T00:00:00.000,2017-06-19,0500,12,77th Street,1239,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1501,49,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,420,900 W  59TH                         DR,,33.9862,-118.2892,,,,,2230,06037237101,274.02273924368114,2017
172116871,2017-09-16T00:00:00.000,2017-09-15,1830,21,Topanga,2133,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344,41,M,O,104,DRIVEWAY,IC,Invest Cont,420,7400    KYLE                         CT,,34.2045,-118.6336,,,,,1689,06037134422,299.25241854890623,2017
171721502,2017-11-30T00:00:00.000,2017-11-30,1445,17,Devonshire,1752,2,624,BATTERY - SIMPLE ASSAULT,0416 0444 1815,46,M,H,720,JUNIOR HIGH SCHOOL,IC,Invest Cont,624,10100    VARIEL                       AV,,34.2536,-118.5929,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1490,06037113323,98.50824271958263,2017
141601462,2014-10-18T00:00:00.000,2014-10-18,0035,16,Foothill,1687,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0305 0416 0913 0429 1218 0906 1816 1270 2000,25,M,H,102,SIDEWALK,IC,Invest Cont,230,SUNLAND,SAN FERNANDO,34.2191,-118.369,302,BLUNT INSTRUMENT,,,1563,06037122122,297.3122270448657,2014
152011519,2015-06-05T00:00:00.000,2015-05-28,1200,20,Olympic,2058,2,354,THEFT OF IDENTITY,0100 0923,41,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,900    MAGNOLIA                     AV,,34.055,-118.2865,,,,,2066,06037213401,194.91602136125823,2015
161814114,2016-07-08T00:00:00.000,2016-07-04,0750,18,Southeast,1802,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0913 0906 0371,48,M,H,102,SIDEWALK,IC,Invest Cont,930,BROADWAY,88TH                         ST,33.9574,-118.2782,511,VERBAL THREAT,,,2264,06037240200,301.9852506383664,2016
131913946,2013-06-15T00:00:00.000,2013-05-15,0200,19,Mission,1984,1,330,BURGLARY FROM VEHICLE,1307 0344,23,M,H,101,STREET,IC,Invest Cont,330,COMMUNITY                    ST,KESTER,34.2235,-118.4575,,,,,1544,06037120106,174.4430698320373,2013
131506631,2013-02-21T00:00:00.000,2013-02-20,0005,15,N Hollywood,1595,1,330,BURGLARY FROM VEHICLE,1307 0344 1609,55,M,W,101,STREET,IC,Invest Cont,330,3900    BIG OAK                      DR,,34.1389,-118.3841,,,,,1769,06037143801,275.3105494675397,2013
150510896,2015-06-06T00:00:00.000,2015-06-06,2000,05,Harbor,0521,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 1236,0,M,O,406,OTHER STORE,IC,Invest Cont,442,1700 N  GAFFEY                       ST,,33.7601,-118.2928,,,,,2461,06037295103,1038.333843654315,2015
131004476,2013-01-11T00:00:00.000,2012-12-29,1100,10,West Valley,1091,2,354,THEFT OF IDENTITY,1822 0922,27,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,4700    CARITINA                     DR,,34.1555,-118.556,,,,,1743,06037139802,824.0518426051568,2012
191315590,2019-07-24T00:00:00.000,2019-07-24,1715,13,Newton,1365,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1309 1202 0329,66,F,H,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,745,1300 E  49TH                         ST,,33.9984,-118.2521,,,,,2172,06037228720,212.15615978014475,2019
130625663,2013-11-24T00:00:00.000,2013-11-24,2230,06,Hollywood,0628,1,210,ROBBERY,0344 0334 0316 0308 0337 0305,25,F,W,102,SIDEWALK,IC,Invest Cont,210,ARGYLE                       AV,DIX                          ST,34.1083,-118.3252,109,SEMI-AUTOMATIC PISTOL,,,1826,06037189502,129.1654552887203,2013
170912007,2017-06-04T00:00:00.000,2017-06-03,1315,09,Van Nuys,0941,2,354,THEFT OF IDENTITY,0930 1822,42,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,5900    CEDROS                       AV,,34.1776,-118.4531,,,,,1641,06037128400,587.5003154006318,2017
190718950,2019-11-03T00:00:00.000,2019-11-03,1410,07,Wilshire,0721,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0342 0325 1300 0378 1420,0,M,O,416,THE BEVERLY CENTER,IC,Invest Cont,440,8500    BEVERLY                      BL,,34.0761,-118.3766,,,442,,2077,06037214800,575.2926138512855,2019
190113518,2019-05-14T00:00:00.000,2019-05-14,1010,01,Central,0156,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2002 0416 1218 1822,25,M,B,102,SIDEWALK,IC,Invest Cont,230,300 E  5TH                          ST,,34.0449,-118.2458,303,BRASS KNUCKLES,,,1970,06037206301,186.1851052556509,2019
130811892,2013-07-15T00:00:00.000,2013-07-14,1700,08,West LA,0899,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,64,F,W,221,PUBLIC STORAGE,IC,Invest Cont,341,8800    NATIONAL                     BL,,34.0293,-118.3879,,,,,3652,06037702400,512.3032194406825,2013
131517933,2013-09-16T00:00:00.000,2013-09-16,0900,15,N Hollywood,1555,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,29,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,624,5100    BAKMAN                       AV,,34.163,-118.3774,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1610,06037125403,54.71076933784777,2013
131212904,2013-05-14T00:00:00.000,2013-05-11,1500,12,77th Street,1263,1,310,BURGLARY,1606 1501 0601,55,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,2000 W  82ND                         ST,,33.9646,-118.3134,,,,,2244,06037238100,307.07443633237494,2013
130311604,2013-04-21T00:00:00.000,2013-04-21,1200,03,Southwest,0378,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,39,F,H,109,PARK/PLAYGROUND,IC,Invest Cont,440,700    STATE                        DR,,34.0164,-118.2851,,,,,2143,06037222700,525.8183072858545,2013
131613942,2013-09-03T00:00:00.000,2013-08-23,0600,16,Foothill,1658,1,310,BURGLARY,1606 0344 0352,50,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,310,10200    SILVERTON                    AV,,34.2545,-118.2845,,,,,1386,06037101222,412.3113666942943,2013
181228747,2018-12-08T00:00:00.000,2018-12-08,0525,12,77th Street,1241,2,901,VIOLATION OF RESTRAINING ORDER,2000 1814 1203,31,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,901,6500 S  VICTORIA                     AV,,33.9806,-118.3323,,,,,2218,06037234902,203.9602009342317,2018
160306869,2016-02-14T00:00:00.000,2016-02-14,0830,03,Southwest,0333,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1243 1276 0416 0446 0448,23,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,626,2600    WELLINGTON                   RD,,34.0326,-118.3384,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2119,06037220000,509.95214680078544,2016
160413322,2016-08-04T00:00:00.000,2016-08-04,1020,04,Hollenbeck,0456,2,850,INDECENT EXPOSURE,0529,23,F,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,850,2700    WABASH                       AV,,34.0514,-118.2001,,,,,1943,06037203710,185.05790844628007,2016
130309702,2013-04-02T00:00:00.000,2013-04-01,2330,03,Southwest,0395,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0444 0408 0421 2000,25,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,930,4200 S  WESTERN                      AV,,34.0073,-118.3089,511,VERBAL THREAT,,,2186,06037231500,168.1236556884027,2013
191104002,2018-12-31T00:00:00.000,2018-12-31,1635,11,Northeast,1107,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1401 0400 0416 0447 0913,27,F,X,514,GROUP HOME,JA,Juv Arrest,230,6900 N  FIGUEROA                     ST,,34.1278,-118.1929,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",998,,1782,06037183221,364.80940311931516,2018
130906712,2013-02-27T00:00:00.000,2013-02-26,2003,09,Van Nuys,0969,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0913,39,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,956,5200    COLDWATER CANYON             AV,,34.1649,-118.4137,,,,,1600,06037124700,429.36773844420827,2013
181410663,2018-04-19T00:00:00.000,2018-02-27,1500,14,Pacific,1428,2,662,"BUNCO, GRAND THEFT",1822 0701 1915 0100,71,M,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,662,10700    QUEENSLAND                   ST,,34.0308,-118.4165,,,,,2378,06037271704,327.77088812748667,2018
150519330,2015-12-11T00:00:00.000,2015-12-10,2130,05,Harbor,0512,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,26300    PRESIDENT                    AV,,33.7837,-118.304,,,,,2443,06037293306,152.36658761327897,2015
170622533,2017-10-25T00:00:00.000,2017-10-25,0700,06,Hollywood,0636,1,210,ROBBERY,0344 0334 0444,31,M,H,102,SIDEWALK,AA,Adult Arrest,210,WHITLEY                      AV,HOLLYWOOD                    BL,34.1016,-118.3333,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,,,1848,06037190701,260.12911324585554,2017
141413034,2014-05-03T00:00:00.000,2014-05-02,0930,14,Pacific,1496,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,37,M,H,503,HOTEL,IC,Invest Cont,341,6200 W  CENTURY                      BL,,33.9456,-118.3939,,,,,3867,06037980028,531.508667665887,2014
150615160,2015-06-24T00:00:00.000,2015-06-23,0235,06,Hollywood,0636,1,350,"THEFT, PERSON",0344,49,F,W,104,DRIVEWAY,AO,Adult Other,350,WHITLEY                      AV,HOLLYWOOD                    BL,34.1016,-118.3333,,,,,1848,06037190701,260.12911324585554,2015
161913136,2016-06-10T00:00:00.000,2016-03-11,0800,19,Mission,1902,2,354,THEFT OF IDENTITY,1822,32,F,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,15200    DECI                         ST,,34.3223,-118.4655,,,,,1431,06037106406,598.2818185390049,2016
182014994,2018-07-31T00:00:00.000,2018-05-16,1100,20,Olympic,2054,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0352 1221,52,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,440,1000 S  KINGSLEY                     DR,,34.0526,-118.3031,,,,,2062,06037213201,134.5679678376223,2018
182115252,2018-08-23T00:00:00.000,2018-08-22,2000,21,Topanga,2187,2,624,BATTERY - SIMPLE ASSAULT,0448,67,M,W,501,SINGLE FAMILY DWELLING,AO,Adult Other,624,5000    ESCOBEDO                     DR,,34.161,-118.5915,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1723,06037137502,629.6232648597215,2018
171326699,2017-12-30T00:00:00.000,2017-12-30,1745,13,Newton,1393,1,210,ROBBERY,1309 0334 0302 0202 0432 0344 0104,0,M,H,101,STREET,IC,Invest Cont,210,67TH                         ST,BROADWAY,33.979,-118.2783,102,HAND GUN,,,2251,06037239310,103.08556888505285,2017
161920078,2016-10-15T00:00:00.000,2016-10-12,2100,19,Mission,1985,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,31,M,H,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740,8800    TOBIAS                       AV,,34.2299,-118.4516,,,,,1541,06037120103,40.26595026955585,2016
162011064,2016-05-24T00:00:00.000,2016-05-23,2030,20,Olympic,2054,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,218,BEAUTY/BARBER SHOP,IC,Invest Cont,740,3100 W  OLYMPIC                      BL,,34.0526,-118.3031,,,,,2062,06037213201,134.5679678376223,2016
140604447,2014-01-08T00:00:00.000,2014-01-07,2000,06,Hollywood,0649,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,28,F,H,101,STREET,IC,Invest Cont,740,1600 N  KINGSLEY                     DR,,34.1,-118.3033,,,,,1847,06037190520,70.22489457144893,2014
161917848,2016-09-05T00:00:00.000,2016-09-04,1545,19,Mission,1983,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,626,15000    PARTHENIA                    ST,,34.2282,-118.4592,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1545,06037120107,377.8135674035728,2016
160207674,2016-03-12T00:00:00.000,2016-03-09,1230,02,Rampart,0247,2,624,BATTERY - SIMPLE ASSAULT,0432 0342 0305 0419 0416 0417 0429 0422 0906,46,F,H,102,SIDEWALK,IC,Invest Cont,624,1700 W  6TH                          ST,,34.0596,-118.2701,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2005,06037208904,21.609393106979685,2016
130122099,2013-10-15T00:00:00.000,2013-10-15,1045,01,Central,0132,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,36,M,O,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",IC,Invest Cont,440,700 W  1ST                          ST,,34.0564,-118.2498,,,,,1983,06037207501,263.267078524668,2013
161518788,2016-09-25T00:00:00.000,2016-09-12,0935,15,N Hollywood,1527,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,M,O,404,DEPARTMENT STORE,IC,Invest Cont,442,11000    VICTORY                      BL,,34.1867,-118.3703,,,,,1593,06037124201,508.5730436533243,2016
181217971,2018-07-08T00:00:00.000,2018-07-08,0800,12,77th Street,1267,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0352,43,M,B,518,TRANSITIONAL HOUSING/HALFWAY HOUSE,IC,Invest Cont,440,800 W  83RD                         ST,,33.9637,-118.2871,,,,,2247,06037238320,126.59304167979622,2018
191804538,2019-01-10T00:00:00.000,2019-01-10,1900,18,Southeast,1832,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1258 2038,9,M,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,237,100 W  108TH                        ST,,33.9401,-118.2761,,,,,2278,06037241120,411.50474309623337,2019
171508592,2017-03-19T00:00:00.000,2017-03-18,1830,15,N Hollywood,1526,2,888,TRESPASSING,0313 2004,0,M,O,210,RESTAURANT/FAST FOOD,IC,Invest Cont,888,6300    LANKERSHIM                   BL,,34.1849,-118.3867,,,,,1591,06037124104,225.70215496488072,2017
131606170,2013-02-26T00:00:00.000,2013-02-01,1600,16,Foothill,1606,2,924,TELEPHONE PROPERTY - DAMAGE,0329,57,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,924,11500    KAMLOOPS                     ST,,34.2771,-118.382,,,,,1403,06037104124,423.35617992686366,2013
161011124,2016-06-14T00:00:00.000,2016-06-14,2100,10,West Valley,1075,1,310,BURGLARY,0344 1601 0352 0321 1202 1414,75,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,5000    ZELZAH                       AV,,34.1601,-118.5229,,,,,1733,06037139502,506.7724026119408,2016
160122266,2016-08-29T00:00:00.000,2016-08-27,1630,01,Central,0128,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,24,M,H,203,OTHER BUSINESS,IC,Invest Cont,440,300 N  ALAMEDA                      ST,,34.0498,-118.24,,,,,1968,06037206201,419.7174949206142,2016
160519288,2016-11-27T00:00:00.000,2016-11-27,1600,05,Harbor,0585,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,55,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,440,700 W  24TH                         ST,,33.7224,-118.2924,,,,,2475,06037297201,273.87217129496304,2016
141312910,2014-06-14T00:00:00.000,2014-06-14,0001,13,Newton,1307,2,624,BATTERY - SIMPLE ASSAULT,0448 0416,52,F,B,503,HOTEL,IC,Invest Cont,624,800 E  7TH                          ST,,34.0396,-118.2451,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1972,06037206303,267.6079330091061,2014
130322322,2013-10-15T00:00:00.000,2013-10-15,1845,03,Southwest,0358,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1251 0344,21,M,W,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,IC,Invest Cont,440,900 W  35TH                         ST,,34.0231,-118.287,,,,,2143,06037222700,254.67589576751774,2013
180126082,2018-10-15T00:00:00.000,2018-10-12,0810,01,Central,0124,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,59,M,B,102,SIDEWALK,IC,Invest Cont,440,1ST                          ST,LOS ANGELES,34.0515,-118.2424,,,,,1968,06037206201,435.8406057617652,2018
140611827,2014-05-18T00:00:00.000,2014-05-18,1630,06,Hollywood,0668,1,210,ROBBERY,0400 0448 0444,19,M,H,102,SIDEWALK,AO,Adult Other,210,1300 N  WESTERN                      AV,,34.0949,-118.3092,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1852,06037190901,386.2070304900435,2014
170318380,2017-08-02T00:00:00.000,2017-08-02,1945,03,Southwest,0359,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,28,F,H,203,OTHER BUSINESS,IC,Invest Cont,440,3500 S  FIGUEROA                     ST,,34.0204,-118.2809,,,,,2143,06037222700,441.42037253861963,2017
191013932,2019-08-23T00:00:00.000,2019-08-23,0855,10,West Valley,1001,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,19200    LANARK                       ST,,34.2175,-118.5514,,,,,1658,06037131600,490.50314009332845,2019
131116531,2013-08-29T00:00:00.000,2013-08-01,1200,11,Northeast,1127,2,354,THEFT OF IDENTITY,0800,33,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,5900    FAYETTE                      ST,,34.1194,-118.1905,,,,,1781,06037183220,121.2512194459857,2013
152017704,2015-10-15T00:00:00.000,2015-10-15,2150,20,Olympic,2021,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0319 0416 0444 0448 0913 1814 2000 2002,24,F,W,108,PARKING LOT,AO,Adult Other,626,BRONSON,WILSHIRE,34.0617,-118.3178,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2033,06037211701,479.2384435374585,2015
161906482,2016-02-15T00:00:00.000,2016-02-12,2100,19,Mission,1971,2,901,VIOLATION OF RESTRAINING ORDER,1501 0432 0443,25,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,901,8900    ORION                        AV,,34.2319,-118.472,,,,,1517,06037117405,215.23511161969577,2016
150817881,2015-11-20T00:00:00.000,2015-11-18,2030,08,West LA,0889,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0419 1813 1241,41,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,626,1900 S  ROBERTSON                    BL,,34.0449,-118.3866,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2357,06037269602,335.11458670846315,2015
141004647,2014-01-16T00:00:00.000,2014-01-15,1730,10,West Valley,1047,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,0,M,W,203,OTHER BUSINESS,IC,Invest Cont,440,5500    BALBOA                       BL,,34.171,-118.5011,,,,,3864,06037980024,480.92058545294117,2014
162121235,2016-12-23T00:00:00.000,2016-12-22,0700,21,Topanga,2126,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,32,F,B,101,STREET,IC,Invest Cont,331,7700    MILWOOD                      AV,,34.2098,-118.5945,,,,,1682,06037134201,472.19720363738276,2016
151905916,2015-02-07T00:00:00.000,2015-02-06,0830,19,Mission,1985,1,310,BURGLARY,0344 1601,90,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,8800    TILDEN                       AV,,34.2295,-118.4489,,,,,1543,06037120105,205.34817538877348,2015
132117541,2013-10-28T00:00:00.000,2013-10-27,1930,21,Topanga,2149,1,330,BURGLARY FROM VEHICLE,0321 0344 1307,53,F,W,101,STREET,IC,Invest Cont,330,7100    JUMILLA                      AV,,34.1988,-118.5634,,,,,1698,06037134802,472.4756115714596,2013
161423546,2016-09-13T00:00:00.000,2016-08-21,1444,14,Pacific,1488,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203,OTHER BUSINESS,IC,Invest Cont,668,9000    AIRPORT                      BL,,33.9553,-118.3857,,,,,2424,06037277200,268.10639026250055,2016
