dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,cross_street,lat,lon,weapon_used_cd,weapon_desc,crm_cd_2,crm_cd_3,geoid,distance_to_centroid
151704048,2015-01-02T00:00:00.000,2015-01-02T00:00:00.000,1830,17,Devonshire,1756,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,IC,Invest Cont,420,17800    MERRIDY                      ST,,34.2522,-118.5216,,,,,06037111302,0.006006699093517751
130814430,2013-09-16T00:00:00.000,2013-09-16T00:00:00.000,1200,08,West LA,0881,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,35,M,W,108,PARKING LOT,IC,Invest Cont,440,11700 W  OLYMPIC                      BL,,34.0343,-118.4478,,,,,06037267600,0.00395682814890177
161427757,2016-11-12T00:00:00.000,2016-11-12T00:00:00.000,1335,14,Pacific,1484,2,624,BATTERY - SIMPLE ASSAULT,0400,63,F,B,710,OTHER PREMISE,AA,Adult Arrest,624,7000 W  MANCHESTER                   AV,,33.9598,-118.4136,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037276607,0.006894697817884832
171815257,2017-07-19T00:00:00.000,2017-07-18T00:00:00.000,1900,18,Southeast,1844,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,11100    TOWNE                        AV,,33.9348,-118.2673,,,,,06037240902,0.002995761839668738
180209575,2018-04-12T00:00:00.000,2018-04-12T00:00:00.000,0830,02,Rampart,0201,1,210,ROBBERY,0416 0344,36,M,B,102,SIDEWALK,IC,Invest Cont,210,WILLOWBROOK,NEW HAMPSHIRE,34.0873,-118.296,312,PIPE/METAL PIPE,,,06037191500,0.0019599413256516695
171607192,2017-03-17T00:00:00.000,2016-11-01T00:00:00.000,1200,16,Foothill,1667,2,354,THEFT OF IDENTITY,0377 1822,46,M,O,507,CONDOMINIUM/TOWNHOUSE,IC,Invest Cont,354,9300    SUNLAND PARK                 DR,,34.2388,-118.3657,,,,,06037121102,0.006833432885451063
171513862,2017-06-20T00:00:00.000,2017-06-20T00:00:00.000,0215,15,N Hollywood,1547,2,624,BATTERY - SIMPLE ASSAULT,0913 0416 2004 1218,22,F,H,101,STREET,IC,Invest Cont,624,CUMPSTON,KILLION,34.1713,-118.3834,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037124102,0.004520146015336363
172009512,2017-04-19T00:00:00.000,2017-04-19T00:00:00.000,1650,20,Olympic,2062,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 0603 0913 1202,77,F,A,501,SINGLE FAMILY DWELLING,AO,Adult Other,624,900 S  GRAMERCY                     PL,,34.0537,-118.3133,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037213100,0.0024400020491785724
160409729,2016-05-12T00:00:00.000,2016-05-11T00:00:00.000,2100,04,Hollenbeck,0456,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,46,F,H,101,STREET,IC,Invest Cont,745,2500    HOUSTON                      ST,,34.0503,-118.203,,,,,06037203710,0.0020261088322285517
181906394,2018-02-13T00:00:00.000,2018-02-12T00:00:00.000,1500,19,Mission,1962,1,330,BURGLARY FROM VEHICLE,0344,49,F,H,108,PARKING LOT,IC,Invest Cont,330,9100    BURNET                       AV,,34.2355,-118.4632,,,,,06037117510,0.0016620012033721537
140810123,2014-06-15T00:00:00.000,2014-06-14T00:00:00.000,2257,08,West LA,0816,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",,21,M,B,501,SINGLE FAMILY DWELLING,AO,Adult Other,956,500    MIDVALE                      AV,,34.0683,-118.4525,,,,,06037265303,0.0012814249880576689
181320805,2018-10-10T00:00:00.000,2018-10-08T00:00:00.000,1430,13,Newton,1321,2,624,BATTERY - SIMPLE ASSAULT,1251 1259 2024 0416 0446 1820 0319,15,F,H,720,JUNIOR HIGH SCHOOL,IC,Invest Cont,624,300 W  23RD                         ST,,34.0291,-118.2706,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037224020,0.0023541293507335884
191913534,2019-07-17T00:00:00.000,2019-07-07T00:00:00.000,1300,19,Mission,1952,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0352,32,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,341,15500    TUBA                         ST,,34.2564,-118.4696,,,,,06037109603,0.005112602566210543
161215783,2016-06-08T00:00:00.000,2016-06-07T00:00:00.000,2100,12,77th Street,1218,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0104 0325,0,F,W,504,OTHER RESIDENCE,IC,Invest Cont,442,VERMONT,SLAUSON,33.9892,-118.2915,,,,,06037232701,0.004046038309263706
181229173,2018-12-12T00:00:00.000,2018-12-12T00:00:00.000,0700,12,77th Street,1235,1,310,BURGLARY,0344 1609,26,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,6000    RAYMOND                      AV,,33.9859,-118.298,,,,,06037237201,0.0011209085600506089
191719118,2019-12-04T00:00:00.000,2019-12-04T00:00:00.000,0425,17,Devonshire,1788,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,68,M,W,101,STREET,IC,Invest Cont,745,8700    OAK PARK                     AV,,34.2285,-118.5059,,,,,06037115401,0.00806772000010032
151006110,2015-02-23T00:00:00.000,2015-02-21T00:00:00.000,1900,10,West Valley,1047,1,330,BURGLARY FROM VEHICLE,1606 0344,29,M,H,108,PARKING LOT,IC,Invest Cont,330,17200    BURBANK                      BL,,34.1723,-118.5076,,,,,06037139001,0.0044367385543966215
170908580,2017-04-01T00:00:00.000,2017-03-31T00:00:00.000,1445,09,Van Nuys,0952,2,763,STALKING,0347,21,M,W,108,PARKING LOT,AO,Adult Other,763,BURBANK                      BL,COLDWATER CA                 AV,34.1684,-118.4586,,,,,06037128802,0.002879900171888216
131113894,2013-07-08T00:00:00.000,2013-07-07T00:00:00.000,2200,11,Northeast,1148,1,330,BURGLARY FROM VEHICLE,0344 1307,42,M,A,101,STREET,IC,Invest Cont,330,4300    MARMION                      WY,,34.1059,-118.2034,,,,,06037185101,0.004308657911695557
160511182,2016-06-03T00:00:00.000,2016-06-03T00:00:00.000,2050,05,Harbor,0541,1,330,BURGLARY FROM VEHICLE,0344 0358 1607 1300,33,F,W,108,PARKING LOT,IC,Invest Cont,330,1000 N  WESTERN                      AV,,33.7537,-118.309,,,,,06037670701,0.006204879128553589
131719161,2013-11-23T00:00:00.000,2013-11-22T00:00:00.000,2230,17,Devonshire,1737,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,33,M,H,101,STREET,IC,Invest Cont,331,10900    HAYVENHURST                  AV,,34.2684,-118.4935,,,,,06037111100,0.001617545362574742
190708215,2019-03-26T00:00:00.000,2019-03-25T00:00:00.000,0815,07,Wilshire,0765,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,M,O,726,POLICE FACILITY,AA,Adult Arrest,845,4800    VENICE                       BL,,34.0496,-118.3425,,,,,06037217200,0.0006621933252508684
171407762,2017-03-08T00:00:00.000,2017-02-15T00:00:00.000,1840,14,Pacific,1463,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,0,X,X,203,OTHER BUSINESS,IC,Invest Cont,440,12900 W  JEFFERSON                    BL,,33.9782,-118.422,,,,,06037275605,0.0019326461134947545
140707806,2014-04-13T00:00:00.000,2014-04-12T00:00:00.000,1530,07,Wilshire,0759,2,624,BATTERY - SIMPLE ASSAULT,1414 0401,32,F,O,501,SINGLE FAMILY DWELLING,AO,Adult Other,624,1200    4TH                          AV,,34.0492,-118.3204,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037212900,0.0019198565050503737
170118344,2017-06-28T00:00:00.000,2017-06-28T00:00:00.000,0920,01,Central,0146,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,IC,Invest Cont,420,200 E  5TH                          ST,,34.0461,-118.2461,,,,,06037207306,0.0023388648956259783
150415554,2015-10-10T00:00:00.000,2015-10-10T00:00:00.000,2100,04,Hollenbeck,0499,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 1310,23,F,H,101,STREET,IC,Invest Cont,230,OLYMPIC                      BL,ESPERANZA,34.0188,-118.201,,,,,06037204920,0.003612634080548768
180512749,2018-07-01T00:00:00.000,2018-07-01T00:00:00.000,1000,05,Harbor,0566,1,220,ATTEMPTED ROBBERY,1202 0337 0913,61,M,W,102,SIDEWALK,IC,Invest Cont,220,700 S  PACIFIC                      AV,,33.7379,-118.2879,302,BLUNT INSTRUMENT,,,06037296600,0.004851061121035647
190915773,2019-08-25T00:00:00.000,2019-08-23T00:00:00.000,1630,09,Van Nuys,0985,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,61,F,W,123,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,420,13900    MOORPARK                     ST,,34.1513,-118.4451,,,,,06037141202,0.0037674018898929944
150416985,2015-11-14T00:00:00.000,2015-11-13T00:00:00.000,2200,04,Hollenbeck,0468,1,330,BURGLARY FROM VEHICLE,0344 1302 0352,39,F,H,104,DRIVEWAY,IC,Invest Cont,330,100 S  DACOTAH                      ST,,34.0395,-118.2003,,,,,06037204110,0.002451733468381
170307284,2017-02-19T00:00:00.000,2017-02-19T00:00:00.000,0001,03,Southwest,0326,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,20,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,440,2600    BRIGHTON                     AV,,34.0327,-118.3015,,,,,06037222200,0.001710871415390984
162012054,2016-06-13T00:00:00.000,2016-06-13T00:00:00.000,1045,20,Olympic,2056,1,480,BIKE - STOLEN,2004 0344 0345,17,M,H,108,PARKING LOT,IC,Invest Cont,480,900 S  VERMONT                      AV,,34.0509,-118.2937,,,,,06037213320,0.0005245893632181849
150210786,2015-05-05T00:00:00.000,2015-05-03T00:00:00.000,1730,02,Rampart,0217,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,43,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,745,1800    BELLEVUE                     AV,,34.0714,-118.2631,,,,,06037195720,0.003000472796080082
132014427,2013-08-08T00:00:00.000,2013-08-07T00:00:00.000,1800,20,Olympic,2071,1,310,BURGLARY,1605 0344 0329 0321 0352 1221,39,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,310,1300 S  WILTON                       PL,,34.0472,-118.3145,,,,,06037221304,0.0020999011881505975
141413467,2014-05-09T00:00:00.000,2014-05-09T00:00:00.000,1715,14,Pacific,1456,1,310,BURGLARY,0314,31,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,4400    LINDBLADE                    DR,,33.9952,-118.4209,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037275200,0.0010040343619689932
180410569,2018-06-02T00:00:00.000,2018-05-30T00:00:00.000,1200,04,Hollenbeck,0466,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,28,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,740,200 N  FICKETT                      ST,,34.0434,-118.2068,,,,,06037204200,0.0015556156337644
171216376,2017-06-19T00:00:00.000,2017-06-19T00:00:00.000,0500,12,77th Street,1239,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1501,49,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,420,900 W  59TH                         DR,,33.9862,-118.2892,,,,,06037237101,0.002729490795002901
172116871,2017-09-16T00:00:00.000,2017-09-15T00:00:00.000,1830,21,Topanga,2133,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344,41,M,O,104,DRIVEWAY,IC,Invest Cont,420,7400    KYLE                         CT,,34.2045,-118.6336,,,,,06037134422,0.0031430192490724783
171721502,2017-11-30T00:00:00.000,2017-11-30T00:00:00.000,1445,17,Devonshire,1752,2,624,BATTERY - SIMPLE ASSAULT,0416 0444 1815,46,M,H,720,JUNIOR HIGH SCHOOL,IC,Invest Cont,624,10100    VARIEL                       AV,,34.2536,-118.5929,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037113323,0.0010627008045531183
141601462,2014-10-18T00:00:00.000,2014-10-18T00:00:00.000,0035,16,Foothill,1687,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0305 0416 0913 0429 1218 0906 1816 1270 2000,25,M,H,102,SIDEWALK,IC,Invest Cont,230,SUNLAND,SAN FERNANDO,34.2191,-118.369,302,BLUNT INSTRUMENT,,,06037122122,0.0031936507323122617
152011519,2015-06-05T00:00:00.000,2015-05-28T00:00:00.000,1200,20,Olympic,2058,2,354,THEFT OF IDENTITY,0100 0923,41,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,900    MAGNOLIA                     AV,,34.055,-118.2865,,,,,06037213401,0.0019270064867498212
161814114,2016-07-08T00:00:00.000,2016-07-04T00:00:00.000,0750,18,Southeast,1802,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0913 0906 0371,48,M,H,102,SIDEWALK,IC,Invest Cont,930,BROADWAY,88TH                         ST,33.9574,-118.2782,511,VERBAL THREAT,,,06037240200,0.003095266062873689
131913946,2013-06-15T00:00:00.000,2013-05-15T00:00:00.000,0200,19,Mission,1984,1,330,BURGLARY FROM VEHICLE,1307 0344,23,M,H,101,STREET,IC,Invest Cont,330,COMMUNITY                    ST,KESTER,34.2235,-118.4575,,,,,06037120106,0.001874064033056518
131506631,2013-02-21T00:00:00.000,2013-02-20T00:00:00.000,0005,15,N Hollywood,1595,1,330,BURGLARY FROM VEHICLE,1307 0344 1609,55,M,W,101,STREET,IC,Invest Cont,330,3900    BIG OAK                      DR,,34.1389,-118.3841,,,,,06037143801,0.0029047471490577016
150510896,2015-06-06T00:00:00.000,2015-06-06T00:00:00.000,2000,05,Harbor,0521,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 1236,0,M,O,406,OTHER STORE,IC,Invest Cont,442,1700 N  GAFFEY                       ST,,33.7601,-118.2928,,,,,06037295103,0.011061169739232397
131004476,2013-01-11T00:00:00.000,2012-12-29T00:00:00.000,1100,10,West Valley,1091,2,354,THEFT OF IDENTITY,1822 0922,27,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,4700    CARITINA                     DR,,34.1555,-118.556,,,,,06037139802,0.007551459792654153
191315590,2019-07-24T00:00:00.000,2019-07-24T00:00:00.000,1715,13,Newton,1365,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1309 1202 0329,66,F,H,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,745,1300 E  49TH                         ST,,33.9984,-118.2521,,,,,06037228720,0.002252572751323132
130625663,2013-11-24T00:00:00.000,2013-11-24T00:00:00.000,2230,06,Hollywood,0628,1,210,ROBBERY,0344 0334 0316 0308 0337 0305,25,F,W,102,SIDEWALK,IC,Invest Cont,210,ARGYLE                       AV,DIX                          ST,34.1083,-118.3252,109,SEMI-AUTOMATIC PISTOL,,,06037189502,0.0013366001645976557
170912007,2017-06-04T00:00:00.000,2017-06-03T00:00:00.000,1315,09,Van Nuys,0941,2,354,THEFT OF IDENTITY,0930 1822,42,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,5900    CEDROS                       AV,,34.1776,-118.4531,,,,,06037128303,0.005724002183787862
190718950,2019-11-03T00:00:00.000,2019-11-03T00:00:00.000,1410,07,Wilshire,0721,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0342 0325 1300 0378 1420,0,M,O,416,THE BEVERLY CENTER,IC,Invest Cont,440,8500    BEVERLY                      BL,,34.0761,-118.3766,,,442,,06037214800,0.005607097109911621
190113518,2019-05-14T00:00:00.000,2019-05-14T00:00:00.000,1010,01,Central,0156,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2002 0416 1218 1822,25,M,B,102,SIDEWALK,IC,Invest Cont,230,300 E  5TH                          ST,,34.0449,-118.2458,303,BRASS KNUCKLES,,,06037206301,0.0017918551838765908
130811892,2013-07-15T00:00:00.000,2013-07-14T00:00:00.000,1700,08,West LA,0899,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,64,F,W,221,PUBLIC STORAGE,IC,Invest Cont,341,8800    NATIONAL                     BL,,34.0293,-118.3879,,,,,06037702400,0.004807808752440534
131517933,2013-09-16T00:00:00.000,2013-09-16T00:00:00.000,0900,15,N Hollywood,1555,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,29,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,624,5100    BAKMAN                       AV,,34.163,-118.3774,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037125403,0.0005163274154948278
131212904,2013-05-14T00:00:00.000,2013-05-11T00:00:00.000,1500,12,77th Street,1263,1,310,BURGLARY,1606 1501 0601,55,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,2000 W  82ND                         ST,,33.9646,-118.3134,,,,,06037238100,0.0032833632147487896
130311604,2013-04-21T00:00:00.000,2013-04-21T00:00:00.000,1200,03,Southwest,0378,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,39,F,H,109,PARK/PLAYGROUND,IC,Invest Cont,440,700    STATE                        DR,,34.0164,-118.2851,,,,,06037222700,0.004748398045658331
131613942,2013-09-03T00:00:00.000,2013-08-23T00:00:00.000,0600,16,Foothill,1658,1,310,BURGLARY,1606 0344 0352,50,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,310,10200    SILVERTON                    AV,,34.2545,-118.2845,,,,,06037101220,0.004104526769307139
181228747,2018-12-08T00:00:00.000,2018-12-08T00:00:00.000,0525,12,77th Street,1241,2,901,VIOLATION OF RESTRAINING ORDER,2000 1814 1203,31,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,901,6500 S  VICTORIA                     AV,,33.9806,-118.3323,,,,,06037234902,0.0020034642497351474
160306869,2016-02-14T00:00:00.000,2016-02-14T00:00:00.000,0830,03,Southwest,0333,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1243 1276 0416 0446 0448,23,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,626,2600    WELLINGTON                   RD,,34.0326,-118.3384,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037220000,0.004727687066635955
160413322,2016-08-04T00:00:00.000,2016-08-04T00:00:00.000,1020,04,Hollenbeck,0456,2,850,INDECENT EXPOSURE,0529,23,F,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,850,2700    WABASH                       AV,,34.0514,-118.2001,,,,,06037203710,0.0017430195064822352
130309702,2013-04-02T00:00:00.000,2013-04-01T00:00:00.000,2330,03,Southwest,0395,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0444 0408 0421 2000,25,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,930,4200 S  WESTERN                      AV,,34.0073,-118.3089,511,VERBAL THREAT,,,06037231500,0.0018138842300466067
191104002,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,1635,11,Northeast,1107,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1401 0400 0416 0447 0913,27,F,X,514,GROUP HOME,JA,Juv Arrest,230,6900 N  FIGUEROA                     ST,,34.1278,-118.1929,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",998,,06037183221,0.0035036398216674036
130906712,2013-02-27T00:00:00.000,2013-02-26T00:00:00.000,2003,09,Van Nuys,0969,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0913,39,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,956,5200    COLDWATER CANYON             AV,,34.1649,-118.4137,,,,,06037124700,0.004028929014019534
181410663,2018-04-19T00:00:00.000,2018-02-27T00:00:00.000,1500,14,Pacific,1428,2,662,"BUNCO, GRAND THEFT",1822 0701 1915 0100,71,M,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,662,10700    QUEENSLAND                   ST,,34.0308,-118.4165,,,,,06037271704,0.0031162763035425148
150519330,2015-12-11T00:00:00.000,2015-12-10T00:00:00.000,2130,05,Harbor,0512,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,26300    PRESIDENT                    AV,,33.7837,-118.304,,,,,06037293306,0.001390090644527513
170622533,2017-10-25T00:00:00.000,2017-10-25T00:00:00.000,0700,06,Hollywood,0636,1,210,ROBBERY,0344 0334 0444,31,M,H,102,SIDEWALK,AA,Adult Arrest,210,WHITLEY                      AV,HOLLYWOOD                    BL,34.1016,-118.3333,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,,,06037190701,0.002549827445135524
141413034,2014-05-03T00:00:00.000,2014-05-02T00:00:00.000,0930,14,Pacific,1496,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,37,M,H,503,HOTEL,IC,Invest Cont,341,6200 W  CENTURY                      BL,,33.9456,-118.3939,,,,,06037980028,0.005050495520241422
150615160,2015-06-24T00:00:00.000,2015-06-23T00:00:00.000,0235,06,Hollywood,0636,1,350,"THEFT, PERSON",0344,49,F,W,104,DRIVEWAY,AO,Adult Other,350,WHITLEY                      AV,HOLLYWOOD                    BL,34.1016,-118.3333,,,,,06037190701,0.002549827445135524
161913136,2016-06-10T00:00:00.000,2016-03-11T00:00:00.000,0800,19,Mission,1902,2,354,THEFT OF IDENTITY,1822,32,F,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,15200    DECI                         ST,,34.3223,-118.4655,,,,,06037106406,0.006473422742263547
182014994,2018-07-31T00:00:00.000,2018-05-16T00:00:00.000,1100,20,Olympic,2054,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0352 1221,52,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,440,1000 S  KINGSLEY                     DR,,34.0526,-118.3031,,,,,06037213201,0.001455864004638421
182115252,2018-08-23T00:00:00.000,2018-08-22T00:00:00.000,2000,21,Topanga,2187,2,624,BATTERY - SIMPLE ASSAULT,0448,67,M,W,501,SINGLE FAMILY DWELLING,AO,Adult Other,624,5000    ESCOBEDO                     DR,,34.161,-118.5915,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037137502,0.006710029806199843
171326699,2017-12-30T00:00:00.000,2017-12-30T00:00:00.000,1745,13,Newton,1393,1,210,ROBBERY,1309 0334 0302 0202 0432 0344 0104,0,M,H,101,STREET,IC,Invest Cont,210,67TH                         ST,BROADWAY,33.979,-118.2783,102,HAND GUN,,,06037239310,0.001084907830189385
161920078,2016-10-15T00:00:00.000,2016-10-12T00:00:00.000,2100,19,Mission,1985,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,31,M,H,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740,8800    TOBIAS                       AV,,34.2299,-118.4516,,,,,06037120103,0.0004367745413901603
162011064,2016-05-24T00:00:00.000,2016-05-23T00:00:00.000,2030,20,Olympic,2054,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,218,BEAUTY/BARBER SHOP,IC,Invest Cont,740,3100 W  OLYMPIC                      BL,,34.0526,-118.3031,,,,,06037213201,0.001455864004638421
140604447,2014-01-08T00:00:00.000,2014-01-07T00:00:00.000,2000,06,Hollywood,0649,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,28,F,H,101,STREET,IC,Invest Cont,740,1600 N  KINGSLEY                     DR,,34.1,-118.3033,,,,,06037190520,0.0007607601461834269
161917848,2016-09-05T00:00:00.000,2016-09-04T00:00:00.000,1545,19,Mission,1983,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,626,15000    PARTHENIA                    ST,,34.2282,-118.4592,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037120107,0.00392222640855545
160207674,2016-03-12T00:00:00.000,2016-03-09T00:00:00.000,1230,02,Rampart,0247,2,624,BATTERY - SIMPLE ASSAULT,0432 0342 0305 0419 0416 0417 0429 0422 0906,46,F,H,102,SIDEWALK,IC,Invest Cont,624,1700 W  6TH                          ST,,34.0596,-118.2701,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037208904,0.00020771133816103985
130122099,2013-10-15T00:00:00.000,2013-10-15T00:00:00.000,1045,01,Central,0132,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,36,M,O,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",IC,Invest Cont,440,700 W  1ST                          ST,,34.0564,-118.2498,,,,,06037207501,0.0028447569316260497
161518788,2016-09-25T00:00:00.000,2016-09-12T00:00:00.000,0935,15,N Hollywood,1527,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,M,O,404,DEPARTMENT STORE,IC,Invest Cont,442,11000    VICTORY                      BL,,34.1867,-118.3703,,,,,06037124201,0.005269517055663602
181217971,2018-07-08T00:00:00.000,2018-07-08T00:00:00.000,0800,12,77th Street,1267,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0352,43,M,B,518,TRANSITIONAL HOUSING/HALFWAY HOUSE,IC,Invest Cont,440,800 W  83RD                         ST,,33.9637,-118.2871,,,,,06037238320,0.0011721403499566905
191804538,2019-01-10T00:00:00.000,2019-01-10T00:00:00.000,1900,18,Southeast,1832,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1258 2038,9,M,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,237,100 W  108TH                        ST,,33.9401,-118.2761,,,,,06037241120,0.0037215030565625057
171508592,2017-03-19T00:00:00.000,2017-03-18T00:00:00.000,1830,15,N Hollywood,1526,2,888,TRESPASSING,0313 2004,0,M,O,210,RESTAURANT/FAST FOOD,IC,Invest Cont,888,6300    LANKERSHIM                   BL,,34.1849,-118.3867,,,,,06037124104,0.0024485522252966365
131606170,2013-02-26T00:00:00.000,2013-02-01T00:00:00.000,1600,16,Foothill,1606,2,924,TELEPHONE PROPERTY - DAMAGE,0329,57,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,924,11500    KAMLOOPS                     ST,,34.2771,-118.382,,,,,06037104124,0.003944077331900224
161011124,2016-06-14T00:00:00.000,2016-06-14T00:00:00.000,2100,10,West Valley,1075,1,310,BURGLARY,0344 1601 0352 0321 1202 1414,75,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,5000    ZELZAH                       AV,,34.1601,-118.5229,,,,,06037139502,0.005111533625040108
